,poseł,klub/koło,Liczba wypowiedzi (W tym jako członka RM)
163,Adam Gawęda,PiS,62(4)
164,Kazimierz Plocke,KO,62
165,Marcelina Zawisza,Lewica,62
166,Paweł Hreniak,PiS,61
167,Fryderyk Kapinos,PiS,61
168,Aleksander Mrówczyński,PiS,61
169,Krystyna Szumilas,KO,61
170,Paweł Zalewski,Polska2050,61
171,Dorota Niedziela,KO,59
172,Tomasz Trela,Lewica,59
173,Jarosław Urbaniak,KO,59
174,Maciej Małecki,PiS,58(58)
175,Paweł Szefernaker,PiS,58(52)
176,Robert Telus,PiS,58(5)
177,Anna Ewa Cicholska,PiS,57
178,Agnieszka Hanajczyk,KO,57
179,Jacek Kurzępa,PiS,57
180,Krzysztof Truskolaski,KO,56
181,Patryk Wicher,PiS,56
182,Przemysław Czarnek,PiS,55(20)
183,Ewa Kołodziej,KO,55
184,Piotr Król,PiS,55
185,Cezary Tomczyk,KO,55
186,Łukasz Schreiber,PiS,53(30)
187,Joanna Frydrych,KO,52
188,Marcin Kierwiński,KO,52
189,Ewa Kozanecka,PiS,52
190,Jan Łopata,KP,52
191,Katarzyna Maria Piekarska,KO,52
192,Krystyna Sibińska,KO,52
193,Jan Warzecha,PiS,52
194,Iwona Hartwich,KO,51
195,Małgorzata Kidawa-Błońska,KO,51
196,Jarosław Zieliński,PiS,51
197,Stanisław Żuk,Kukiz15,51
198,Władysław Teofil Bartoszewski,KP,50
199,Czesław Hoc,PiS,50
200,Robert Kropiwnicki,KO,50
201,Monika Pawłowska,PiS,50
202,Andrzej Szewiński,KO,50
203,Michał Woś,PiS,50(43)
204,Mateusz Morawiecki,PiS,49(49)
205,Sylwester Tułajew,PiS,49
206,Piotr Uściński,PiS,49(41)
207,Henryka Krzywonos-Strycharska,KO,48
208,Joanna Scheuring-Wielgus,Lewica,48
209,Michał Jaros,KO,47
210,Maciej Gdula,Lewica,46
211,Dariusz Olszewski,PiS,46
212,Witold Zembaczyński,KO,46
213,Anna Maria Żukowska,Lewica,46
214,Ryszard Galla,niez.,45
215,Grzegorz Matusiak,PiS,45
216,Artur Soboń,PiS,45(45)
217,Tomasz Zieliński,PiS,45
218,Ireneusz Zyska,PiS,45(44)
219,Katarzyna Czochara,PiS,44
220,Zbigniew Dolata,PiS,44
221,Magdalena Filiks,KO,44
222,Jerzy Małecki,PiS,44
223,Agnieszka Pomaska,KO,44
224,Agnieszka Ścigaj,PS,44
225,Czesław Mroczek,KO,43
226,Jacek Ozdoba,PiS,43(22)
227,Małgorzata Sekuła-Szmajdzińska,Lewica,43
228,Włodzimierz Tomaszewski,PiS,43(3)
229,Piotr Babinetz,PiS,42
230,Waldemar Buda,PiS,42(42)
231,Krzysztof Janusz Kozik,PiS,42
232,Wojciech Maksymowicz,niez.,42(2)
233,Rajmund Miller,KO,41
234,Jacek Protas,KO,41
235,Tomasz Szymański,KO,41
236,Jacek Tomczak,KP,41
237,Władysław Kurowski,PiS,40
238,Jagna Marczułajtis-Walczak,KO,40
239,Krzysztof Mieszkowski,KO,40
240,Agnieszka Soin,PiS,40
241,Kazimierz Choma,PiS,39
242,Sławomir Skwarek,PiS,39
243,Dariusz Bąk,PiS,38
244,Mariusz Gosek,PiS,38
245,Paweł Kowal,KO,38
246,Piotr Sak,PiS,38
